head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
24,22,7,22,Validation,26.0,3a43681b0a4600dd,1.2190001010894775,0.2389998435974121,1670129304.86,7,<img src='/static/targets/22.JPEG' />,<img src='/static/targets/7.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/22.JPEG' />,<img src='/static/targets/7.JPEG' />,22.JPEG,7.JPEG,24.JPEG,22.JPEG,7.JPEG,323.21408200263977,2022-12-04T04:48:24.860000,1670128981.645918,25,25
18,29,4,29,Validation,27.0,3a43681b0a4600dd,1.7979998588562012,0.0820000171661377,1670129306.743,4,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/4.JPEG' />,<img src='/static/targets/18.JPEG' />,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/4.JPEG' />,29.JPEG,4.JPEG,18.JPEG,29.JPEG,4.JPEG,325.0970821380615,2022-12-04T04:48:26.743000,1670128981.645918,26,26
17,19,8,19,Validation,28.0,3a43681b0a4600dd,1.3029999732971191,0.08600020408630371,1670129308.138,8,<img src='/static/targets/19.JPEG' />,<img src='/static/targets/8.JPEG' />,<img src='/static/targets/17.JPEG' />,<img src='/static/targets/19.JPEG' />,<img src='/static/targets/8.JPEG' />,19.JPEG,8.JPEG,17.JPEG,19.JPEG,8.JPEG,326.49208211898804,2022-12-04T04:48:28.138000,1670128981.645918,27,27
6,5,7,7,Validation,29.0,3a43681b0a4600dd,4.351000070571899,0.1919999122619629,1670129312.765,5,<img src='/static/targets/5.JPEG' />,<img src='/static/targets/7.JPEG' />,<img src='/static/targets/6.JPEG' />,<img src='/static/targets/7.JPEG' />,<img src='/static/targets/5.JPEG' />,5.JPEG,7.JPEG,6.JPEG,7.JPEG,5.JPEG,331.1190822124481,2022-12-04T04:48:32.765000,1670128981.645918,28,28
7,2,9,2,Validation,30.0,3a43681b0a4600dd,3.4010000228881836,0.2369999885559082,1670129316.41,9,<img src='/static/targets/2.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/7.JPEG' />,<img src='/static/targets/2.JPEG' />,<img src='/static/targets/9.JPEG' />,2.JPEG,9.JPEG,7.JPEG,2.JPEG,9.JPEG,334.76408219337463,2022-12-04T04:48:36.410000,1670128981.645918,29,29
21,24,20,24,Validation,31.0,3a43681b0a4600dd,1.2630000114440918,0.22300004959106445,1670129317.799,20,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/20.JPEG' />,<img src='/static/targets/21.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/20.JPEG' />,24.JPEG,20.JPEG,21.JPEG,24.JPEG,20.JPEG,336.1530821323395,2022-12-04T04:48:37.799000,1670128981.645918,30,30
13,8,1,1,Validation,32.0,3a43681b0a4600dd,0.871999979019165,0.08699989318847656,1670129318.792,8,<img src='/static/targets/8.JPEG' />,<img src='/static/targets/1.JPEG' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/1.JPEG' />,<img src='/static/targets/8.JPEG' />,8.JPEG,1.JPEG,13.JPEG,1.JPEG,8.JPEG,337.14608216285706,2022-12-04T04:48:38.792000,1670128981.645918,31,31
11,9,24,9,Validation,33.0,3a43681b0a4600dd,0.7220001220703125,0.12599992752075195,1670129319.603,24,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/24.JPEG' />,9.JPEG,24.JPEG,11.JPEG,9.JPEG,24.JPEG,337.95708203315735,2022-12-04T04:48:39.603000,1670128981.645918,32,32
11,18,14,14,Validation,34.0,3a43681b0a4600dd,0.5390000343322754,0.25299978256225586,1670129320.392,18,<img src='/static/targets/18.JPEG' />,<img src='/static/targets/14.JPEG' />,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/14.JPEG' />,<img src='/static/targets/18.JPEG' />,18.JPEG,14.JPEG,11.JPEG,14.JPEG,18.JPEG,338.7460820674896,2022-12-04T04:48:40.392000,1670128981.645918,33,33
0,1,10,1,Validation,35.0,3a43681b0a4600dd,0.5239999294281006,0.08500003814697266,1670129321.005,10,<img src='/static/targets/1.JPEG' />,<img src='/static/targets/10.jpg' />,<img src='/static/targets/0.JPEG' />,<img src='/static/targets/1.JPEG' />,<img src='/static/targets/10.jpg' />,1.JPEG,10.jpg,0.JPEG,1.JPEG,10.jpg,339.35908222198486,2022-12-04T04:48:41.005000,1670128981.645918,34,34
