,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
bottle,-2.373461871027361,-3.2428734107217596,0.3957706396381789,1.789691196121003,-3.879757166776963,1.9445455386725312,0.6043022373694086,3.188208017950504,0.17269883609332723,1.406478068988259,-0.022428062676564817,-1.3139859152477384,-1.3878284079143766,2.032508817312381,-0.38868817860302246,-3.4397572039228117,2.673522813537394,-2.224332854729075,1.7691395133872274,-5.143715831116363,-0.185243628535999,-2.5813368951213946,-4.0557268594944444,1.4348001284870322,-1.167187219536785,1.9184338354704145,-2.366956336535058,0.8993065007015606,0.35758304999928614,3.886140103099801,-2.1108063828328287,2.5183985755832268,5.1314226802399725,-4.1818140655804275,-2.3044534069185176,-0.5250108719740081,-1.4025801851798676,-0.9360092991317949,-4.452901714622692,0.4409029797515876
bowl,-1.7360273019616117,1.7970737629362978,-2.120234320718155,-2.0263858011152402,-1.5426650908339208,0.20642397451631245,1.5833680754607273,-1.4249723593338663,3.465896347636773,-1.1747389168401736,-0.5924848927360737,2.511602717708812,-8.620407350560333,2.6298479304976126,1.017293937182453,-7.012808889722096,1.0835782303177846,0.8522480067194694,0.971119691774236,-2.272766793470158,1.4041610654015972,-3.949904471655672,-4.565995751564552,2.3357131553201675,1.5285173394113494,-1.4140705930133393,1.3723196257396637,-3.249407829518354,-1.2427296275397868,0.27847391575538977,-6.802371107049376,2.968559344025033,2.1359323441497957,-1.8237984019110196,-2.381607433874368,-2.685009795766403,-4.182459214405228,1.5225233272383207,-6.026297148035248,0.5043491862127308
bumblebee,2.8796048168853146,2.4265402908306153,-5.4147517660743265,0.34730552183598223,2.5474156062575517,0.5196820716042101,3.271711541178748,3.214208019785968,4.199629875380109,1.3467064302245244,-1.0483630376183486,4.868158249724456,-7.060782538465355,-0.8230734809365696,0.9880821884992955,8.619509266027741,-5.813685160264145,0.7212586303912347,-0.9078543090923594,-2.016195903427356,0.8721077291451581,6.367091089440072,-1.3138540530594147,-0.3261855228356596,-5.171832179536713,-1.110826123338922,-0.1354220181308189,3.909509082995006,-0.4751394613354808,0.16078224134927172,4.320254787639345,-3.1884313042932293,-6.212315301462208,-0.011353316547439967,4.782364845041204,1.6926758420888246,-0.6321155371301885,-2.5385580223474262,-10.701027234076761,1.8106527978655422
bus,-7.216413206679804,-4.44938250385823,-0.5050986766172457,-1.0085010609979825,1.5574013258946078,-0.8401863818326918,-5.948692164618836,-0.11806886526877035,-2.3507976281186873,-6.292195245756118,0.05640357868088639,-2.4487784915941093,1.7723463232305967,-2.2404366680437087,-3.4716499351035246,-1.9213931376969058,4.183823842252423,-5.9111771003446485,0.47477676743178104,-4.303711398027212,2.771418180758923,-3.2846725654524365,-2.9131345300348905,11.698363588962938,-0.42029470184878687,1.3382762870166378,-8.70952002580306,3.090178138547469,3.2139657648165483,1.0479410577385238,-4.9608967033352,1.684657680427854,5.805483880475935,3.7655615253274335,0.7536790283345939,5.902984408236797,-4.427923190371332,5.381351236438124,-2.608666394955066,-2.0922659554863285
car,-0.45035640478861394,-1.1299774159564064,-1.835291220749615,-1.5670938404928734,-2.839445156150905,0.055614526221580286,-3.0588514327734706,-0.3556170813428487,-0.8202870460628412,1.6630861210315693,0.6266083692694328,0.08162456394135817,1.757700237694347,0.49520236638130566,-0.2276758525336867,-4.284231612780151,1.6686603829301092,1.2776531876862551,1.2854390891703038,-6.353216425336105,-2.017790211032969,0.9629236761052428,-1.9560935726291777,3.5685917249369896,-2.2612390899973533,-2.6376118256382104,-3.3364757088823778,-0.4409985073230343,3.4116680781730118,0.4060079533913621,0.5042156219288634,0.6142976345406622,4.167937057457206,-2.288326771330475,-3.0627427668740763,-0.21626686305898507,0.6043333467608143,-1.428370796710999,1.8585987474145422,0.8218771496475186
cat,2.9905193940828303,-0.9421761007564744,-1.2987735689170332,1.237961583175614,0.23251164915700082,6.433580658110056,0.39690367823119255,-0.9431041522466631,4.077407364138691,-2.705252387178357,-0.03522247615866532,-0.004583115201144466,-1.0822658020886253,-1.8777126227528513,-1.8522325836977085,0.4502866824277505,-2.006335968133753,-0.748594776979623,2.6478359738891886,-3.074941821752571,0.708202862239182,2.1458150596051238,2.8144567901269646,-6.015761836394942,2.6534556539672622,1.8295210462827487,2.1942938796682774,1.1563466173335302,-0.3045319058110529,3.3749828532753186,-2.2711884906798305,-1.257623559898655,-0.13672519013866435,-4.977076766188727,0.08555053525301047,-3.157932735373949,2.0052481339117527,-0.26132870082408477,-0.9601617102784803,-2.144344117477185
caterpillar,3.441393713366549,-1.0753357474957939,0.525716056802412,1.9496953777846258,4.988413268126626,-1.0947685601723298,-0.06374882047598017,6.983471745250827,0.5865476596244309,2.4063636511456976,2.6847874623440964,3.5449002536906646,-0.33738315445426537,-1.838914641365884,0.4003914388250495,8.665160134094707,-1.2419251422255266,1.2244356524103357,1.5091208703256132,8.912595242052808,2.0480289795187305,2.3579468770730116,0.9473702236447614,1.052862102860007,2.4171394977526393,5.712403344308909,4.442400443244738,1.9619455324386528,-4.557489298992676,1.907230407406381,3.0824178582123265,-0.613644279506795,-1.3784227105508515,5.673915677702569,-2.57014913639775,1.7458412497757143,-3.49745155325474,1.2350496632041765,-4.243923309263687,-5.402724406866487
chameleon,-2.242370714745015,-0.49468629330660113,-0.3832456356721604,1.5630695354116824,0.547567259137756,1.5399348144942595,-1.2248085357208374,-0.42736438174371105,0.003711055414122578,1.8771517338122015,-0.5667555357711166,1.3160866532989732,1.7340294350732461,1.4136352107323393,-0.40050545611804017,0.3250137944483085,-0.266198751696421,-0.863719738049369,0.07495372542261383,0.6512438999338475,-0.49400315828093067,-0.11232319799886749,-1.8256447582887683,-0.8519934721363959,0.15327957637842252,0.03554234794625973,-0.24498998030805968,1.2935512151641662,0.5566958571659943,-1.4744122812881053,1.2752505565006391,-2.2414148667290865,0.6532530235591154,-1.0437801386022783,-1.514170996072936,0.48965376948351547,1.3263480663761007,-0.35508163685886135,1.845498639737235,-1.3259022636155848
clarinet,1.061466904896093,-3.7054728794338554,2.926659848616003,1.801127631789634,2.6943138389153267,-1.5787008964484108,-0.9720141709133844,1.0532779533662286,-1.7265828836871295,4.2472445241403785,7.020892996533835,1.28588966995353,4.001138710078738,0.4970874879425901,3.030307129903614,5.357730553342567,4.308444872712807,3.517728091596309,4.552190510251675,2.503002379521735,4.815787516560728,0.13723318787426236,6.197812326972283,5.5403399089049445,-4.968131480127751,6.103553224538667,-0.956187229071059,1.3487319985688997,-2.6485281818181976,2.102100174949645,-0.8046682187462586,4.199831640111536,1.9504810214400403,-0.5801758975962,-3.3779666522034253,3.6410241965958483,-4.697298644008316,1.3985527076312991,1.9898911779561024,0.4095519426642083
cockroach,-2.685108386820101,0.23233453128526713,1.0727476844883521,-0.9725866142959703,-1.2576354307261777,2.1779593050776738,-2.09032066375783,0.013993361479689818,0.426231181466791,3.7640810822028414,1.3362970355418582,1.8734672851668406,0.03272737298893592,0.6172005125566155,-1.8866129239320184,-2.7702985200641783,-0.3613764208291141,2.3946078714309675,2.421855719876391,-2.204079929317165,-0.08298334507944968,0.24001272764671508,-4.010448742405858,0.5236142899671417,0.24641532826006654,-0.6869688119368046,-1.400072193347367,1.8274190196437032,2.5253433773427068,0.6985447028260134,0.8472541669725638,-3.0898860647554387,2.3385023228898056,-3.6309751013914626,-1.6232353663290073,-3.092468665519459,0.03349010406865415,-1.6192287801636436,0.783186495441152,-0.8110871243454912
